"","Date","Max_TemperatureC","Mean_TemperatureC","Min_TemperatureC","Dew_PointC","MeanDew_PointC","Min_DewpointC","Max_Humidity","Mean_Humidity","Min_Humidity","Max_Sea_Level_PressurehPa","Mean_Sea_Level_PressurehPa","Min_Sea_Level_PressurehPa","Max_VisibilityKm","Mean_VisibilityKm","Min_VisibilitykM","Max_Wind_SpeedKm_h","Mean_Wind_SpeedKm_h","Max_Gust_SpeedKm_h","Precipitationmm","CloudCover","Events","WindDirDegrees","Station"
"1",2013-01-01,8,7,5,6,3,2,100,78,62,1009,1004,1003,31,14,10,26,18,NA,0.76,6,"Rain",216,"EDDT"
"2",2013-01-02,6,4,3,4,3,1,93,86,73,1024,1017,1009,31,15,10,29,19,NA,0.51,6,"Rain",255,"EDDT"
"3",2013-01-03,10,7,4,9,6,2,100,89,72,1025,1022,1020,26,9,4,34,24,48,0.51,7,"Rain",258,"EDDT"
"4",2013-01-04,9,8,6,9,7,4,100,89,73,1028,1025,1021,31,10,3,29,23,50,6.1,6,"Rain",283,"EDDT"
"5",2013-01-05,7,6,5,8,6,4,100,93,83,1029,1026,1022,26,11,5,18,11,NA,0,7,"Rain",321,"EDDT"
"6",2013-01-06,7,6,5,7,6,5,100,98,87,1028,1023,1020,19,6,2,21,10,NA,1.02,7,"Rain",299,"EDDT"
"7",2013-01-07,7,4,3,7,3,2,100,93,84,1028,1027,1024,11,9,3,14,8,NA,0,7,"Rain",110,"EDDT"
"8",2013-01-08,7,4,2,7,5,2,100,99,93,1026,1022,1020,10,4,1,14,8,NA,3.05,7,"Rain",252,"EDDT"
"9",2013-01-09,7,7,6,7,7,4,100,97,87,1022,1016,1009,10,4,0,24,10,NA,3.05,7,"Fog-Rain",233,"EDDT"
"10",2013-01-10,5,2,-1,4,2,-4,100,90,72,1010,1007,1005,31,12,6,29,18,NA,2.03,6,"Rain-Snow",303,"EDDT"
"11",2013-01-11,0,-1,-3,-2,-3,-4,93,85,66,1016,1012,1008,31,13,1,18,13,NA,0.25,6,"Snow",304,"EDDT"
"12",2013-01-12,-1,-2,-4,-1,-3,-5,100,91,80,1020,1017,1015,31,13,3,14,10,NA,0,6,"Snow",313,"EDDT"
"13",2013-01-13,-2,-3,-4,-2,-4,-6,93,83,68,1022,1020,1020,19,10,3,19,10,NA,0,6,"Snow",63,"EDDT"
"14",2013-01-14,-3,-6,-8,-5,-7,-9,93,87,78,1021,1016,1012,11,6,2,21,13,NA,0,6,"Snow",102,"EDDT"
"15",2013-01-15,-3,-4,-6,-4,-5,-6,100,91,81,1012,1011,1010,7,6,5,19,8,NA,0,6,"Snow",112,"EDDT"
"16",2013-01-16,-3,-4,-5,-4,-6,-6,93,90,79,1012,1011,1010,7,6,5,14,10,NA,0,7,"Rain-Snow",28,"EDDT"
"17",2013-01-17,0,-2,-4,-3,-3,-5,93,81,59,1018,1015,1012,26,10,6,16,8,NA,0,6,"Rain-Snow",26,"EDDT"
"18",2013-01-18,-3,-3,-4,-4,-6,-8,86,77,65,1018,1014,1010,27,13,9,32,13,NA,0,6,"Rain-Snow",74,"EDDT"
"19",2013-01-19,-7,-8,-8,-7,-9,-11,86,78,65,1010,1006,1004,31,14,9,27,19,NA,0,5,"Snow",66,"EDDT"
"20",2013-01-20,-4,-6,-8,-6,-7,-9,86,81,66,1005,1004,1002,19,12,10,27,13,NA,0,6,"Snow",67,"EDDT"
"21",2013-01-21,-3,-6,-7,-5,-7,-9,93,82,61,1007,1004,1003,18,8,2,29,21,NA,0.51,6,"Snow",61,"EDDT"
"22",2013-01-22,-6,-7,-8,-8,-9,-10,93,80,68,1011,1009,1006,19,10,3,19,13,NA,0,7,"Snow",62,"EDDT"
"23",2013-01-23,-6,-7,-7,-8,-9,-10,86,79,63,1012,1011,1010,13,10,6,10,5,NA,0,7,"Rain-Snow",55,"EDDT"
"24",2013-01-24,-4,-7,-8,-7,-8,-10,93,80,66,1020,1014,1011,10,8,5,14,5,NA,0,6,"Rain-Snow",12,"EDDT"
"25",2013-01-25,0,-7,-14,-6,-9,-14,100,81,50,1023,1022,1020,18,9,5,16,5,NA,0,4,"Fog-Snow",160,"EDDT"
"26",2013-01-26,-6,-8,-11,-8,-10,-12,93,79,62,1021,1015,1011,16,10,5,19,14,NA,0,3,"Snow",140,"EDDT"
"27",2013-01-27,2,-3,-7,2,-3,-8,100,88,69,1011,1007,1002,13,7,2,18,11,NA,1.02,7,"Rain-Snow",192,"EDDT"
"28",2013-01-28,5,2,0,2,1,0,100,88,68,1014,1010,1004,31,12,6,23,11,NA,0,6,"Rain",228,"EDDT"
"29",2013-01-29,7,4,2,7,3,0,100,89,77,1013,1007,1005,31,12,6,26,18,NA,2.03,6,"Rain-Snow",215,"EDDT"
"30",2013-01-30,12,9,5,10,7,3,100,89,72,1006,1002,998,31,13,10,34,19,40,2.03,6,"Rain",235,"EDDT"
"31",2013-01-31,8,6,4,3,2,0,87,70,45,1007,1004,1001,19,10,8,47,35,74,0,6,"Rain-Thunderstorm",260,"EDDT"
"32",2013-02-01,7,6,3,3,2,1,93,76,56,1004,1000,990,31,13,10,45,27,63,0,7,"Rain",234,"EDDT"
"33",2013-02-02,4,1,-2,3,-1,-6,100,85,56,1007,997,988,26,11,3,23,11,34,2.03,6,"Rain-Snow",327,"EDDT"
"34",2013-02-03,3,-1,-5,1,-2,-6,100,86,63,1012,1009,1002,31,10,2,26,13,NA,2.03,6,"Rain-Snow",260,"EDDT"
"35",2013-02-04,7,3,0,5,2,0,100,90,71,1005,1003,999,31,10,2,29,19,NA,3.05,5,"Rain-Snow",253,"EDDT"
"36",2013-02-05,7,3,0,3,1,-2,93,78,63,1003,997,992,31,12,10,39,24,50,0.76,5,"Rain",235,"EDDT"
"37",2013-02-06,4,1,-3,-1,-3,-4,93,73,48,1001,998,997,10,10,10,24,14,NA,0,4,NA,243,"EDDT"
"38",2013-02-07,2,0,-2,0,-2,-4,100,82,56,1009,1005,1001,31,12,10,16,11,NA,0,6,"Snow",270,"EDDT"
"39",2013-02-08,1,-1,-2,0,-1,-3,100,96,82,1014,1010,1008,14,8,2,14,8,NA,0.51,6,"Snow",276,"EDDT"
"40",2013-02-09,1,-2,-4,-1,-2,-3,100,94,72,1018,1016,1014,31,10,2,13,6,NA,1.02,6,"Rain-Snow",275,"EDDT"
