"","Date","Max_TemperatureC","Mean_TemperatureC","Min_TemperatureC","Dew_PointC","MeanDew_PointC","Min_DewpointC","Max_Humidity","Mean_Humidity","Min_Humidity","Max_Sea_Level_PressurehPa","Mean_Sea_Level_PressurehPa","Min_Sea_Level_PressurehPa","Max_VisibilityKm","Mean_VisibilityKm","Min_VisibilitykM","Max_Wind_SpeedKm_h","Mean_Wind_SpeedKm_h","Max_Gust_SpeedKm_h","Precipitationmm","CloudCover","Events","WindDirDegrees","Station"
"1",2013-01-01,8,4,2,7,5,1,94,87,65,1013,1005,1001,31,12,4,39,26,58,5.08,6,"Rain",215,"EDDL"
"2",2013-01-02,7,4,1,5,3,2,93,85,78,1028,1022,1014,31,14,10,24,16,NA,0,6,"Rain",225,"EDDL"
"3",2013-01-03,11,8,6,10,8,4,100,93,77,1035,1030,1026,31,8,2,26,21,NA,1.02,7,"Rain",240,"EDDL"
"4",2013-01-04,9,9,8,9,9,8,100,94,87,1036,1035,1034,11,5,2,23,14,NA,0.25,7,"Rain",263,"EDDL"
"5",2013-01-05,8,8,7,8,7,6,100,94,87,1035,1034,1033,10,6,3,16,10,NA,0,7,"Rain",268,"EDDL"
"6",2013-01-06,9,8,7,8,7,6,100,92,82,1034,1031,1029,18,7,5,16,11,NA,0,7,"Rain",258,"EDDL"
"7",2013-01-07,9,8,7,8,7,5,98,88,75,1031,1028,1027,26,8,2,16,10,NA,0,7,"Rain",238,"EDDL"
"8",2013-01-08,8,7,5,6,5,4,100,87,78,1027,1026,1024,18,9,3,21,13,NA,0,7,"Rain",230,"EDDL"
"9",2013-01-09,6,6,5,6,4,3,100,91,79,1025,1021,1017,19,8,2,21,14,NA,4.06,8,"Rain",222,"EDDL"
"10",2013-01-10,6,4,3,4,3,1,96,86,73,1017,1013,1011,26,12,6,16,11,NA,0,6,"Rain",256,"EDDL"
"11",2013-01-11,2,-1,-3,2,-3,-5,100,85,65,1020,1017,1012,31,12,9,21,8,NA,0,4,"Fog-Rain-Snow",1,"EDDL"
"12",2013-01-12,2,-2,-7,-3,-6,-8,100,79,49,1020,1018,1017,31,17,10,16,6,NA,0,2,NA,106,"EDDL"
"13",2013-01-13,1,-3,-6,-3,-6,-8,86,75,51,1019,1017,1016,31,13,10,21,11,NA,0,4,NA,47,"EDDL"
"14",2013-01-14,-2,-3,-5,-2,-5,-8,99,85,72,1017,1014,1009,18,8,2,23,8,NA,0,6,"Snow",273,"EDDL"
"15",2013-01-15,-1,-4,-7,-2,-4,-7,100,86,65,1009,1006,1004,26,7,1,27,18,NA,0.76,7,"Snow",88,"EDDL"
"16",2013-01-16,-3,-3,-4,-3,-4,-5,99,91,85,1014,1010,1007,5,3,2,14,11,NA,0.25,7,"Snow",348,"EDDL"
"17",2013-01-17,-2,-3,-4,-3,-4,-6,94,88,84,1019,1017,1014,7,4,3,16,10,NA,0,7,"Rain-Snow",353,"EDDL"
"18",2013-01-18,0,-2,-5,-3,-4,-7,94,82,64,1017,1010,1003,31,11,8,21,11,NA,0,6,"Fog-Snow",64,"EDDL"
"19",2013-01-19,-3,-4,-5,-5,-7,-9,80,74,66,1003,999,998,26,13,10,26,18,NA,0,7,NA,61,"EDDL"
"20",2013-01-20,0,-3,-7,-2,-6,-9,94,84,72,999,995,993,19,8,1,24,19,NA,2.03,7,"Rain-Snow",55,"EDDL"
"21",2013-01-21,0,-1,-2,-1,-2,-3,100,91,85,1001,998,995,7,5,2,16,11,NA,0,7,"Snow",118,"EDDL"
"22",2013-01-22,1,-1,-3,-2,-3,-4,94,86,69,1008,1004,1001,7,6,5,11,6,NA,0,7,"Snow",11,"EDDL"
"23",2013-01-23,-1,-2,-3,-3,-4,-6,90,80,66,1011,1009,1007,7,5,5,14,8,NA,0,6,"Snow",17,"EDDL"
"24",2013-01-24,-2,-4,-6,-4,-6,-8,93,82,72,1020,1015,1010,14,10,6,21,13,NA,0,6,NA,21,"EDDL"
"25",2013-01-25,-2,-2,-3,-3,-4,-6,95,83,69,1021,1019,1013,26,9,1,23,8,40,0,7,"Fog-Rain-Snow",80,"EDDL"
"26",2013-01-26,0,-2,-4,-1,-4,-6,100,81,64,1013,1011,1009,26,11,3,34,24,48,0,7,"Rain-Snow",158,"EDDL"
"27",2013-01-27,4,2,-1,3,1,-2,95,86,75,1013,1005,1001,26,12,5,35,21,53,3.05,7,"Rain-Snow",174,"EDDL"
