"","Date","Max_TemperatureC","Mean_TemperatureC","Min_TemperatureC","Dew_PointC","MeanDew_PointC","Min_DewpointC","Max_Humidity","Mean_Humidity","Min_Humidity","Max_Sea_Level_PressurehPa","Mean_Sea_Level_PressurehPa","Min_Sea_Level_PressurehPa","Max_VisibilityKm","Mean_VisibilityKm","Min_VisibilitykM","Max_Wind_SpeedKm_h","Mean_Wind_SpeedKm_h","Max_Gust_SpeedKm_h","Precipitationmm","CloudCover","Events","WindDirDegrees","Station"
"1",2013-01-01,8,6,3,6,3,1,93,80,59,1015,1008,1006,31,12,10,23,14,39,2.03,6,"Rain",206,"EDDF"
"2",2013-01-02,6,3,0,3,1,-1,100,85,67,1031,1024,1015,31,13,10,19,11,37,0,6,NA,200,"EDDF"
"3",2013-01-03,7,4,3,7,3,1,100,90,77,1036,1032,1030,19,10,6,29,19,47,0,7,"Rain",191,"EDDF"
"4",2013-01-04,11,9,6,9,8,6,100,93,79,1036,1034,1033,31,11,6,21,13,37,0,6,"Rain",210,"EDDF"
"5",2013-01-05,9,8,7,8,6,5,87,78,67,1033,1032,1032,31,12,10,24,18,NA,0,7,"Rain",281,"EDDF"
"6",2013-01-06,10,8,7,7,6,4,93,82,66,1033,1030,1028,18,12,10,21,13,NA,0,7,"Rain",259,"EDDF"
"7",2013-01-07,9,8,6,6,5,4,93,78,64,1030,1028,1027,19,12,10,14,8,NA,0,6,"Rain",235,"EDDF"
"8",2013-01-08,6,5,4,5,4,3,100,89,76,1028,1026,1025,31,11,3,16,10,NA,0,7,"Rain",209,"EDDF"
"9",2013-01-09,5,4,3,3,2,1,100,87,69,1026,1022,1017,19,9,5,19,13,29,0.76,7,"Rain",207,"EDDF"
"10",2013-01-10,4,2,1,4,2,0,100,92,79,1018,1014,1011,31,10,6,21,13,34,1.02,6,"Rain",208,"EDDF"
"11",2013-01-11,2,0,-2,1,-4,-7,93,69,47,1020,1016,1010,27,11,10,24,10,NA,0,4,"Rain-Snow",47,"EDDF"
"12",2013-01-12,1,-2,-4,-5,-6,-8,86,69,37,1020,1018,1017,31,14,10,19,6,NA,0,3,NA,54,"EDDF"
"13",2013-01-13,0,-2,-4,-6,-8,-10,86,65,41,1019,1016,1015,31,13,10,19,11,NA,0,5,NA,42,"EDDF"
"14",2013-01-14,-1,-3,-7,-5,-7,-9,93,73,53,1016,1014,1012,31,13,8,13,10,NA,0,5,"Snow",340,"EDDF"
"15",2013-01-15,1,-4,-9,0,-5,-10,100,86,60,1013,1007,1004,14,8,3,14,5,NA,1.02,7,"Snow",66,"EDDF"
"16",2013-01-16,-1,-3,-4,0,-3,-5,100,90,76,1011,1008,1006,10,5,1,14,6,NA,0.76,7,"Snow",251,"EDDF"
"17",2013-01-17,0,-2,-3,-2,-4,-6,93,83,68,1016,1014,1011,13,6,2,21,14,NA,0.51,7,"Snow",10,"EDDF"
"18",2013-01-18,0,-1,-2,-4,-5,-6,80,73,60,1015,1010,1003,18,12,10,21,14,NA,0,7,NA,58,"EDDF"
