"","Date","Max_TemperatureC","Mean_TemperatureC","Min_TemperatureC","Dew_PointC","MeanDew_PointC","Min_DewpointC","Max_Humidity","Mean_Humidity","Min_Humidity","Max_Sea_Level_PressurehPa","Mean_Sea_Level_PressurehPa","Min_Sea_Level_PressurehPa","Max_VisibilityKm","Mean_VisibilityKm","Min_VisibilitykM","Max_Wind_SpeedKm_h","Mean_Wind_SpeedKm_h","Max_Gust_SpeedKm_h","Precipitationmm","CloudCover","Events","WindDirDegrees","Station"
"1",2013-01-01,6,6,5,5,4,3,100,90,81,1006,1005,1004,10,9,6,14,13,NA,0,6,"Rain",248,"ETNU"
"2",2013-01-02,5,4,4,3,3,2,93,89,87,1021,1014,1007,10,10,9,24,18,NA,0,6,"Rain",246,"ETNU"
"3",2013-01-03,9,7,5,8,6,3,100,91,81,1023,1019,1016,10,8,3,37,26,50,0,6,"Rain",262,"ETNU"
"4",2013-01-04,9,7,5,8,6,3,100,91,87,1025,1022,1020,10,9,5,37,26,NA,0,6,"Rain",281,"ETNU"
"5",2013-01-05,8,6,4,7,5,4,100,95,93,1028,1025,1021,10,9,4,21,14,NA,0,6,"Fog",315,"ETNU"
"6",2013-01-06,6,4,4,6,5,4,100,99,93,1026,1022,1020,10,3,0,16,11,NA,0,6,"Fog",302,"ETNU"
"7",2013-01-07,4,3,2,4,3,2,100,96,87,1028,1026,1024,10,6,1,11,10,NA,0,6,"Fog",130,"ETNU"
"8",2013-01-08,7,4,2,7,5,2,100,100,100,1025,1021,1019,10,3,0,16,10,NA,0,6,"Fog-Rain",250,"ETNU"
"9",2013-01-09,7,6,5,7,6,3,100,98,87,1021,1014,1007,10,5,0,29,10,NA,0,6,"Fog-Rain",221,"ETNU"
"10",2013-01-10,4,1,-1,3,0,-4,100,91,80,1007,1005,1004,10,8,3,29,23,NA,0,6,"Rain-Snow",332,"ETNU"
"11",2013-01-11,-1,-2,-3,-2,-3,-5,93,89,86,1014,1010,1007,10,10,9,19,14,NA,0,6,"Snow",319,"ETNU"
"12",2013-01-12,-1,-2,-3,-2,-2,-3,100,94,93,1019,1017,1015,10,8,3,16,13,NA,0,6,"Snow",338,"ETNU"
"13",2013-01-13,-2,-3,-4,-3,-5,-6,93,89,80,1022,1021,1020,10,8,5,19,6,NA,0,5,"Snow",69,"ETNU"
"14",2013-01-14,-5,-7,-8,-6,-7,-9,93,90,80,1020,1016,1011,7,5,4,21,14,NA,0,6,"Snow",131,"ETNU"
"15",2013-01-15,-4,-7,-8,-6,-7,-9,100,89,80,1011,1011,1010,10,6,0,16,6,NA,0,5,"Fog-Snow",152,"ETNU"
"16",2013-01-16,0,-4,-7,-1,-6,-8,100,95,86,1013,1011,1010,9,5,0,16,8,NA,0,6,"Fog",48,"ETNU"
"17",2013-01-17,0,-1,-2,0,-2,-4,100,90,80,1019,1016,1013,10,8,4,21,16,NA,0,6,"Snow",39,"ETNU"
"18",2013-01-18,-1,-3,-4,-3,-5,-7,93,84,74,1018,1015,1011,10,10,10,24,13,NA,0,6,"Snow",82,"ETNU"
"19",2013-01-19,-4,-7,-8,-7,-9,-10,86,81,74,1010,1007,1005,10,10,8,26,19,NA,0,6,"Snow",92,"ETNU"
"20",2013-01-20,-3,-7,-10,-4,-7,-11,93,87,80,1005,1004,1004,10,10,8,23,8,NA,0,6,"Snow",62,"ETNU"
"21",2013-01-21,-3,-6,-8,-5,-9,-12,86,79,63,1008,1006,1004,10,10,10,27,24,NA,0,5,NA,76,"ETNU"
"22",2013-01-22,-6,-7,-8,-7,-9,-11,93,85,79,1011,1009,1007,10,8,2,24,16,NA,0,6,"Snow",70,"ETNU"
"23",2013-01-24,-3,-6,-8,-6,-7,-8,100,90,80,1020,1014,1011,10,8,4,19,5,NA,0,5,"Fog",48,"ETNU"
"24",2013-01-25,-2,-4,-8,-4,-6,-9,100,94,86,1023,1021,1020,10,9,4,8,3,NA,0,5,"Fog-Snow",220,"ETNU"
"25",2013-01-26,-6,-8,-10,-8,-10,-11,93,83,74,1019,1014,1009,10,9,1,19,10,NA,0,5,"Snow",164,"ETNU"
"26",2013-01-27,1,-3,-6,1,-2,-7,100,94,86,1008,1004,1000,8,3,1,19,13,NA,0,6,"Rain-Snow",196,"ETNU"
"27",2013-01-28,3,2,1,2,1,1,100,93,87,1012,1008,1002,10,6,3,21,14,NA,0,6,NA,234,"ETNU"
"28",2013-01-29,7,4,2,6,3,0,100,92,87,1009,1004,1001,10,9,6,19,16,NA,0,6,"Rain",218,"ETNU"
"29",2013-01-30,11,8,6,10,7,3,100,93,81,1003,998,995,10,8,5,37,19,71,0,6,"Rain",235,"ETNU"
"30",2013-01-31,7,6,5,4,3,2,93,83,71,1002,999,998,10,9,5,47,37,66,0,6,"Rain",256,"ETNU"
"31",2013-02-02,3,1,-1,3,0,-4,100,91,75,1007,997,990,10,7,0,26,10,NA,0,6,"Fog-Rain-Snow",334,"ETNU"
"32",2013-02-03,3,-1,-4,1,-2,-4,100,91,81,1010,1007,1000,10,9,3,24,14,NA,0,5,"Snow",248,"ETNU"
"33",2013-02-04,6,3,0,4,2,0,100,92,75,1002,999,995,10,8,5,34,18,NA,0,6,"Rain-Snow",249,"ETNU"
"34",2013-02-05,5,3,1,2,1,-1,100,89,76,998,994,990,10,9,3,29,23,NA,0,6,"Rain-Snow",239,"ETNU"
"35",2013-02-06,1,0,0,0,-1,-2,100,91,81,998,996,994,10,7,1,23,18,NA,0,6,"Snow",233,"ETNU"
"36",2013-02-07,1,0,-1,1,-1,-2,100,93,81,1007,1004,999,10,8,2,19,10,NA,0,6,"Snow",263,"ETNU"
