"","Date","Max_TemperatureC","Mean_TemperatureC","Min_TemperatureC","Dew_PointC","MeanDew_PointC","Min_DewpointC","Max_Humidity","Mean_Humidity","Min_Humidity","Max_Sea_Level_PressurehPa","Mean_Sea_Level_PressurehPa","Min_Sea_Level_PressurehPa","Max_VisibilityKm","Mean_VisibilityKm","Min_VisibilitykM","Max_Wind_SpeedKm_h","Mean_Wind_SpeedKm_h","Max_Gust_SpeedKm_h","Precipitationmm","CloudCover","Events","WindDirDegrees","Station"
"1",2013-01-01,7,1,-5,3,-1,-5,100,88,61,1014,1011,1010,10,9,5,23,6,NA,0,6,"Fog-Rain",240,"EDDH"
"2",2013-01-02,4,1,-3,3,1,-3,100,88,75,1031,1024,1014,10,10,10,19,13,NA,0,6,"Fog-Rain",253,"EDDH"
"3",2013-01-03,5,0,-4,4,0,-4,100,90,75,1035,1033,1031,10,10,6,34,14,40,0,8,"Fog-Rain",241,"EDDH"
"4",2013-01-04,7,6,4,6,5,3,100,94,87,1035,1033,1029,10,8,4,37,24,NA,0,7,"Rain",260,"EDDH"
"5",2013-01-05,7,6,5,6,6,5,100,96,93,1031,1029,1028,10,6,3,35,27,NA,0,8,"Rain",266,"EDDH"
"6",2013-01-06,5,5,5,5,4,3,100,95,87,1030,1028,1026,10,9,5,34,21,40,0,7,"Rain",264,"EDDH"
"7",2013-01-07,6,4,3,5,4,2,100,94,87,1028,1027,1027,10,7,4,24,18,NA,0,6,"Rain",263,"EDDH"
"8",2013-01-08,5,3,1,3,2,1,100,95,87,1027,1025,1023,10,6,3,19,10,NA,0,6,"Fog-Rain",253,"EDDH"
"9",2013-01-09,5,3,1,3,2,0,100,93,81,1024,1020,1015,10,8,4,14,8,NA,0,7,"Rain",255,"EDDH"
"10",2013-01-10,4,2,1,2,2,0,100,95,87,1015,1012,1009,10,8,4,23,16,NA,0,7,"Rain-Snow",262,"EDDH"
"11",2013-01-11,2,-1,-3,1,-2,-5,93,86,69,1016,1013,1008,10,10,6,24,13,NA,0,5,"Rain-Snow",277,"EDDH"
"12",2013-01-12,-1,-2,-3,-2,-3,-5,100,92,86,1016,1016,1015,10,8,1,16,8,NA,0,7,"Snow",35,"EDDH"
"13",2013-01-13,-2,-3,-4,-3,-5,-6,100,87,80,1015,1013,1012,10,9,4,19,11,NA,0,7,NA,72,"EDDH"
"14",2013-01-14,-1,-2,-3,-3,-4,-5,93,89,80,1012,1011,1010,10,8,4,21,11,NA,0,7,"Snow",64,"EDDH"
"15",2013-01-15,-2,-3,-4,-2,-4,-4,100,93,86,1011,1006,1004,10,7,3,23,8,NA,0,7,"Snow",67,"EDDH"
"16",2013-01-16,-1,-4,-8,-2,-4,-8,100,98,86,1006,1005,1004,9,3,1,14,6,NA,0,6,"Fog-Snow",258,"EDDH"
"17",2013-01-17,-4,-6,-7,-4,-4,-8,100,100,93,1010,1008,1005,5,2,1,21,14,NA,0,7,"Snow",263,"EDDH"
"18",2013-01-18,-3,-4,-5,-4,-5,-7,100,93,80,1010,1007,1001,10,7,5,16,8,NA,0,6,"Snow",36,"EDDH"
"19",2013-01-19,-4,-6,-6,-6,-7,-7,100,90,80,1001,996,994,10,8,4,24,16,NA,0,7,"Snow",86,"EDDH"
"20",2013-01-20,-4,-6,-6,-5,-6,-8,93,92,86,994,993,992,9,6,4,23,14,NA,0,7,"Rain",75,"EDDH"
"21",2013-01-21,-1,-3,-5,-2,-4,-5,100,95,86,1000,997,994,6,4,1,14,8,NA,0,7,"Snow",263,"EDDH"
"22",2013-01-22,3,-2,-8,0,-2,-9,100,91,70,1005,1003,1000,10,8,4,24,6,NA,0,5,"Snow",227,"EDDH"
"23",2013-01-23,3,-3,-10,-2,-6,-10,100,93,65,1006,1005,1004,10,5,0,10,3,NA,0,3,"Fog",78,"EDDH"
"24",2013-01-24,-3,-6,-7,-3,-5,-7,100,100,100,1012,1008,1005,6,2,0,10,5,NA,0,7,"Fog-Snow",47,"EDDH"
"25",2013-01-25,-3,-4,-5,-3,-6,-6,100,92,86,1016,1015,1012,6,4,2,13,10,NA,0,8,"Snow",337,"EDDH"
"26",2013-01-26,-5,-10,-14,-6,-9,-15,100,89,80,1015,1013,1011,6,4,3,21,11,NA,0,7,"Fog-Snow",88,"EDDH"
"27",2013-01-27,2,-7,-14,0,-6,-15,100,79,52,1015,1010,1007,10,8,5,11,5,NA,0,7,"Rain",154,"EDDH"
"28",2013-01-28,3,1,-1,2,1,-1,100,95,87,1020,1015,1008,10,7,3,23,11,NA,0,7,"Fog-Rain",244,"EDDH"
"29",2013-01-29,7,3,-1,6,2,-2,93,84,65,1020,1017,1015,10,10,10,40,19,53,0,7,"Rain",234,"EDDH"
"30",2013-01-30,14,10,7,8,7,5,93,77,63,1017,1015,1011,10,10,10,60,34,77,0,6,"Rain",253,"EDDH"
"31",2013-01-31,10,8,5,4,1,-2,93,67,50,1021,1017,1014,10,10,10,52,34,80,0,4,"Rain",256,"EDDH"
"32",2013-02-01,7,6,4,7,4,2,100,91,76,1016,1006,991,10,10,10,32,19,NA,0,7,"Rain",222,"EDDH"
"33",2013-02-02,8,4,0,7,2,-3,100,89,80,1009,998,989,10,10,4,35,19,42,0,6,"Rain-Snow",284,"EDDH"
"34",2013-02-03,2,0,-2,0,-2,-4,100,85,75,1017,1015,1009,10,9,1,37,21,55,0,6,"Snow",263,"EDDH"
"35",2013-02-04,6,3,0,3,1,-1,100,92,81,1014,1013,1012,10,7,3,47,37,64,0,7,"Rain-Snow",250,"EDDH"
"36",2013-02-05,7,3,0,5,2,0,100,88,66,1012,1005,1000,10,8,1,52,27,72,0,6,"Rain-Snow",247,"EDDH"
"37",2013-02-06,3,1,-1,1,-1,-4,100,88,60,1001,999,997,10,8,3,24,13,NA,0,5,"Snow",207,"EDDH"
"38",2013-02-07,1,-1,-3,0,-2,-4,100,94,75,1010,1006,1000,10,7,0,29,11,37,0,7,"Snow",275,"EDDH"
"39",2013-02-08,-1,-3,-5,-2,-4,-6,100,90,69,1012,1011,1009,10,8,1,21,11,NA,0,6,"Snow",247,"EDDH"
"40",2013-02-09,-2,-6,-9,-2,-6,-11,100,88,69,1016,1015,1012,10,9,2,24,13,NA,0,6,"Snow",266,"EDDH"
"41",2013-02-10,-3,-8,-12,-5,-8,-12,100,91,80,1016,1013,1007,10,8,3,19,8,NA,0,5,"Snow",114,"EDDH"
"42",2013-02-11,-3,-7,-9,-6,-8,-10,93,83,69,1006,1002,1000,10,10,10,27,19,NA,0,6,NA,80,"EDDH"
"43",2013-02-12,-3,-4,-6,-3,-5,-8,100,93,80,1013,1006,1001,10,5,1,16,11,NA,0,8,"Snow",284,"EDDH"
"44",2013-02-13,-2,-7,-11,-4,-6,-12,100,92,74,1024,1020,1014,10,5,1,16,10,NA,0,6,"Fog-Snow",260,"EDDH"
"45",2013-02-14,0,-7,-14,-4,-8,-15,100,92,69,1024,1021,1016,6,3,0,10,5,NA,0,6,"Fog",139,"EDDH"
"46",2013-02-15,0,-8,-15,-1,-7,-17,100,97,85,1022,1017,1015,5,2,0,14,5,NA,0,7,"Fog-Snow",286,"EDDH"
"47",2013-02-16,3,1,-1,1,1,-1,100,97,87,1023,1022,1021,9,5,2,13,10,NA,0,7,"Rain-Snow",264,"EDDH"
"48",2013-02-17,1,0,0,1,0,0,100,98,93,1022,1021,1020,10,3,0,13,6,NA,0,7,"Fog-Snow",44,"EDDH"
"49",2013-02-18,1,-2,-4,0,-2,-4,100,92,75,1020,1019,1018,10,6,0,14,10,NA,0,6,"Fog",69,"EDDH"
"50",2013-02-19,1,-1,-3,0,-2,-4,100,95,75,1018,1015,1013,10,4,1,26,11,NA,0,7,"Snow",260,"EDDH"
"51",2013-02-20,1,-2,-4,0,-4,-7,100,85,64,1019,1017,1014,10,9,3,21,8,NA,0,6,"Snow",14,"EDDH"
"52",2013-02-21,-2,-4,-6,-5,-7,-10,100,82,64,1018,1015,1013,10,9,4,24,14,NA,0,7,"Snow",48,"EDDH"
"53",2013-02-22,-5,-6,-7,-7,-9,-10,93,80,68,1012,1009,1007,10,8,4,26,21,NA,0,6,"Snow",48,"EDDH"
"54",2013-02-23,-3,-6,-8,-6,-7,-9,100,85,69,1008,1006,1005,10,6,1,14,10,NA,0,7,"Snow",287,"EDDH"
"55",2013-02-24,-2,-3,-5,-5,-5,-6,100,89,74,1013,1009,1007,10,5,1,13,6,NA,0,7,"Snow",266,"EDDH"
"56",2013-02-25,2,-4,-10,-3,-5,-10,100,87,60,1022,1017,1013,9,5,2,16,11,NA,0,6,"Fog-Snow",295,"EDDH"
"57",2013-02-26,1,-6,-12,1,-3,-12,100,100,100,1025,1023,1022,3,2,1,13,5,NA,0,7,"Fog-Snow",220,"EDDH"
"58",2013-02-27,2,1,0,2,1,0,100,99,93,1026,1025,1025,10,5,0,21,10,NA,0,8,"Fog",54,"EDDH"
"59",2013-02-28,2,1,1,1,0,-1,100,92,81,1025,1023,1022,10,9,6,21,14,NA,0,8,NA,74,"EDDH"
"60",2013-03-01,1,0,0,0,-1,-1,100,94,87,1022,1021,1020,9,6,4,10,6,NA,0,8,"Snow",324,"EDDH"
"61",2013-03-02,4,0,-5,-1,-3,-6,100,85,60,1023,1021,1020,10,9,6,16,8,NA,0,7,"Snow",86,"EDDH"
"62",2013-03-03,3,-3,-8,-1,-4,-8,100,88,65,1022,1021,1020,10,8,4,11,6,NA,0,3,"Fog",218,"EDDH"
"63",2013-03-04,5,-2,-9,-2,-4,-9,100,82,61,1021,1019,1016,8,4,2,26,11,NA,0,NA,"Fog",78,"EDDH"
"64",2013-03-05,10,2,-6,1,-2,-7,100,77,50,1016,1012,1008,NA,NA,NA,16,10,NA,0,NA,NA,75,"EDDH"
"65",2013-03-06,12,3,-4,5,1,-4,100,80,50,1008,1004,1000,10,7,5,19,8,NA,0,NA,"Fog",70,"EDDH"
"66",2013-03-07,15,8,0,6,3,0,100,77,51,1002,1000,999,10,10,10,13,6,NA,0,6,"Rain",34,"EDDH"
"67",2013-03-08,16,8,0,7,4,0,100,81,52,1002,1000,998,10,9,7,19,8,NA,0,6,"Fog-Rain",76,"EDDH"
"68",2013-03-09,12,8,5,8,6,4,100,84,58,1004,1002,1001,10,9,6,21,13,NA,0,6,"Rain",240,"EDDH"
"69",2013-03-10,11,7,3,7,4,3,100,89,67,1001,999,997,10,10,4,29,8,50,0,6,"Fog-Rain-Thunderstorm",231,"EDDH"
"70",2013-03-11,7,6,3,5,4,3,100,92,81,1000,999,999,10,9,5,19,8,NA,0,6,"Rain",33,"EDDH"
"71",2013-03-12,6,3,2,4,3,2,100,97,87,999,996,995,10,6,1,19,10,NA,0,7,"Fog-Rain",78,"EDDH"
"72",2013-03-13,4,0,-4,3,-2,-6,93,88,81,1005,1000,997,10,8,3,19,13,NA,0,6,"Snow",306,"EDDH"
"73",2013-03-14,-1,-3,-6,-5,-7,-9,93,77,59,1009,1007,1005,10,9,5,23,14,NA,0,6,"Snow",308,"EDDH"
"74",2013-03-15,-1,-3,-5,-5,-7,-10,100,76,55,1017,1013,1009,10,9,3,26,11,34,0,4,"Snow",294,"EDDH"
"75",2013-03-16,4,-2,-8,-6,-8,-12,93,63,33,1018,1015,1010,NA,NA,NA,29,11,NA,0,NA,NA,138,"EDDH"
"76",2013-03-17,7,1,-4,-1,-4,-7,86,68,53,1010,1004,998,NA,NA,NA,26,18,NA,0,NA,NA,89,"EDDH"
"77",2013-03-18,4,2,0,3,1,-1,100,92,81,999,994,990,10,7,2,29,13,NA,0,6,"Rain-Snow",347,"EDDH"
"78",2013-03-19,8,4,0,2,1,-2,100,78,50,1003,999,993,10,10,10,48,26,61,0,4,"Rain",258,"EDDH"
"79",2013-03-20,12,4,-3,3,-1,-4,100,74,35,1010,1005,1002,10,10,10,48,10,50,0,6,"Rain",189,"EDDH"
"80",2013-03-21,6,2,-2,1,-1,-4,100,78,57,1017,1015,1010,10,10,3,26,19,NA,0,5,"Rain-Snow",280,"EDDH"
"81",2013-03-22,6,2,-2,-1,-3,-4,100,76,49,1016,1014,1012,10,9,6,26,11,NA,0,5,NA,59,"EDDH"
"82",2013-03-23,2,0,-2,-3,-5,-6,86,73,65,1013,1012,1012,10,9,5,32,27,NA,0,6,"Snow",84,"EDDH"
"83",2013-03-24,2,-1,-3,-3,-6,-8,100,70,56,1012,1010,1008,10,9,4,37,32,50,0,6,"Snow",79,"EDDH"
"84",2013-03-25,-1,-3,-4,-3,-4,-6,100,87,69,1008,1007,1007,10,7,3,26,21,NA,0,7,"Snow",71,"EDDH"
"85",2013-03-26,-3,-4,-6,-4,-5,-6,100,96,80,1009,1007,1006,5,3,2,24,16,NA,0,7,"Snow",70,"EDDH"
"86",2013-03-27,0,-3,-7,-5,-6,-7,100,84,64,1009,1008,1007,10,8,4,16,11,NA,0,7,"Snow",77,"EDDH"
"87",2013-03-28,4,-1,-6,2,-2,-6,100,87,75,1008,1007,1004,10,7,1,19,10,NA,0,5,"Rain-Snow",79,"EDDH"
"88",2013-03-29,6,3,1,2,-1,-4,100,80,56,1008,1006,1004,10,7,1,27,11,NA,0,5,"Rain-Snow",260,"EDDH"
"89",2013-03-30,5,2,0,3,2,0,100,96,87,1004,1002,1000,10,5,1,19,8,NA,0,7,"Rain-Snow",46,"EDDH"
"90",2013-03-31,2,0,-1,1,-1,-4,100,91,70,1008,1005,1003,10,5,1,19,10,NA,0,7,"Rain-Snow",338,"EDDH"
"91",2013-04-01,3,-1,-5,-3,-4,-5,100,78,56,1008,1007,1006,10,10,8,21,10,NA,0,5,"Fog",54,"EDDH"
"92",2013-04-02,4,1,-1,1,-1,-4,87,83,75,1009,1006,1004,10,9,6,26,18,NA,0,6,NA,83,"EDDH"
"93",2013-04-03,5,2,0,0,-2,-3,93,77,61,1011,1010,1009,10,9,5,21,14,NA,0,6,NA,63,"EDDH"
"94",2013-04-04,6,2,-2,2,-2,-3,93,80,61,1010,1008,1005,10,8,5,24,16,37,0,4,NA,68,"EDDH"
"95",2013-04-05,3,1,0,0,-1,-2,93,85,75,1009,1005,1002,9,8,6,19,13,NA,0,8,"Snow",14,"EDDH"
"96",2013-04-06,4,2,1,0,-1,-2,93,81,70,1018,1013,1009,10,8,4,11,8,NA,0,8,NA,343,"EDDH"
"97",2013-04-07,5,2,-1,0,-1,-2,100,82,65,1019,1017,1014,10,9,5,13,6,NA,0,7,"Snow",25,"EDDH"
"98",2013-04-08,9,4,-1,4,-1,-2,100,77,50,1014,1007,1004,10,8,5,27,11,NA,0,7,"Rain",78,"EDDH"
"99",2013-04-09,12,6,1,6,3,1,100,82,50,1006,1004,1002,10,10,5,32,11,39,0,5,"Rain",219,"EDDH"
"100",2013-04-10,11,7,4,5,3,1,93,75,50,1011,1008,1005,10,10,10,47,21,76,0,6,"Rain",243,"EDDH"
"101",2013-04-11,16,9,3,11,7,2,94,83,67,1011,1007,1002,10,10,10,27,10,NA,0,6,"Rain",190,"EDDH"
"102",2013-04-12,14,11,8,9,6,2,100,71,47,1012,1007,1000,10,10,10,37,19,60,0,5,"Rain",246,"EDDH"
"103",2013-04-13,13,8,3,5,3,1,100,68,47,1025,1019,1012,10,10,10,34,21,52,0,3,"Rain",255,"EDDH"
"104",2013-04-14,18,9,1,7,4,1,100,68,42,1027,1026,1025,10,10,10,14,5,NA,0,6,"Rain",107,"EDDH"
"105",2013-04-15,22,12,3,9,7,3,100,67,40,1024,1022,1019,NA,NA,NA,14,10,26,0,NA,NA,78,"EDDH"
"106",2013-04-16,21,13,5,12,9,5,100,78,43,1023,1020,1019,10,10,8,32,8,NA,0,5,"Rain-Thunderstorm",220,"EDDH"
"107",2013-04-17,22,16,10,12,11,8,100,75,46,1025,1023,1020,10,10,10,13,8,NA,0,6,"Fog",187,"EDDH"
"108",2013-04-18,24,14,6,13,10,6,100,71,41,1020,1018,1016,10,10,10,32,8,47,0,6,"Fog-Rain-Thunderstorm",264,"EDDH"
"109",2013-04-19,15,11,7,13,7,5,100,83,71,1023,1022,1020,10,9,5,24,14,NA,0,7,"Rain",298,"EDDH"
"110",2013-04-20,9,7,6,7,6,5,100,91,81,1023,1021,1019,10,9,4,32,19,NA,0,8,"Rain",38,"EDDH"
"111",2013-04-21,13,10,8,9,7,6,93,83,72,1019,1016,1014,10,7,4,23,16,NA,0,7,NA,352,"EDDH"
"112",2013-04-22,14,11,8,8,7,6,93,78,59,1019,1016,1016,10,8,4,14,11,NA,0,6,"Rain",268,"EDDH"
"113",2013-04-23,16,11,6,8,7,5,100,72,52,1025,1021,1019,10,8,4,13,8,NA,0,5,NA,255,"EDDH"
"114",2013-04-24,20,11,3,9,7,3,100,72,43,1027,1026,1025,10,9,8,16,5,NA,0,6,"Fog",253,"EDDH"
"115",2013-04-25,22,13,5,11,8,4,100,70,38,1027,1024,1020,10,10,10,11,5,NA,0,1,"Fog",206,"EDDH"
"116",2013-04-26,24,14,5,11,8,5,100,63,29,1020,1012,1004,NA,NA,NA,27,6,NA,0,NA,NA,258,"EDDH"
"117",2013-04-27,21,14,8,13,11,7,100,82,59,1006,1003,999,10,10,9,26,10,47,0,6,"Rain-Thunderstorm",260,"EDDH"
"118",2013-04-28,11,8,6,7,6,4,100,86,71,1015,1012,1006,10,10,8,24,16,NA,0,7,NA,303,"EDDH"
