"","Date","Max_TemperatureC","Mean_TemperatureC","Min_TemperatureC","Dew_PointC","MeanDew_PointC","Min_DewpointC","Max_Humidity","Mean_Humidity","Min_Humidity","Max_Sea_Level_PressurehPa","Mean_Sea_Level_PressurehPa","Min_Sea_Level_PressurehPa","Max_VisibilityKm","Mean_VisibilityKm","Min_VisibilitykM","Max_Wind_SpeedKm_h","Mean_Wind_SpeedKm_h","Max_Gust_SpeedKm_h","Precipitationmm","CloudCover","Events","WindDirDegrees","Station"
"120",2013-04-30,13,9,4,4,2,0,66,50,40,1026,1024,1022,31,24,16,29,23,NA,0,NA,NA,-1,"ETMK"
"121",2013-05-01,11,4,-3,3,1,-2,100,67,38,1029,1027,1024,27,15,3,21,11,NA,0,NA,"Fog",-1,"ETMK"
"122",2013-05-02,12,8,3,4,0,-7,79,48,16,1026,1025,1023,31,18,11,21,11,NA,0,8,NA,-1,"ETMK"
"123",2013-05-03,14,9,3,6,2,-1,81,52,28,1024,1021,1017,31,22,16,18,11,NA,0,NA,NA,-1,"ETMK"
"124",2013-05-04,20,13,7,7,4,2,69,48,20,1018,1015,1014,31,19,10,35,11,NA,0,NA,NA,-1,"ETMK"
"125",2013-05-05,18,12,6,8,7,6,93,66,32,1025,1022,1019,31,15,6,18,11,NA,0,8,NA,-1,"ETMK"
"126",2013-05-06,17,12,6,11,8,6,92,66,51,1025,1023,1021,18,12,5,14,6,NA,0,NA,NA,-1,"ETMK"
"127",2013-05-07,19,13,7,12,9,6,100,70,47,1021,1020,1016,27,11,2,26,10,NA,0.25,8,"Rain",-1,"ETMK"
"128",2013-05-08,22,16,10,14,12,9,98,76,43,1016,1012,1009,23,11,3,18,11,NA,7.87,8,"Rain",-1,"ETMK"
"129",2013-05-09,18,14,11,14,12,7,94,76,62,1012,1011,1010,31,13,3,21,10,NA,0.25,8,"Rain",-1,"ETMK"
"130",2013-05-10,18,12,7,9,7,5,93,64,32,1014,1011,1009,31,18,8,21,10,NA,0,8,"Rain",-1,"ETMK"
"131",2013-05-11,17,12,8,9,8,6,91,69,41,1014,1012,1009,29,18,10,21,11,NA,0.76,8,"Rain",-1,"ETMK"
"132",2013-05-12,13,11,8,8,7,4,91,73,53,1014,1011,1008,31,19,11,21,11,NA,0,8,"Rain",-1,"ETMK"
"133",2013-05-13,13,10,7,10,7,4,96,76,56,1014,1011,1008,31,16,2,18,11,NA,3.05,8,"Rain",-1,"ETMK"
"134",2013-05-14,15,11,6,7,5,2,90,63,34,1009,1008,1006,31,25,18,18,10,NA,1.02,8,"Rain",-1,"ETMK"
"135",2013-05-15,23,17,9,14,9,6,97,63,26,1008,1003,1000,29,19,3,32,10,NA,4.06,8,"Rain",-1,"ETMK"
"136",2013-05-16,17,13,9,14,12,10,100,84,68,1004,1002,998,14,8,0,26,11,NA,0,8,"Fog-Rain",-1,"ETMK"
"137",2013-05-17,22,18,14,16,14,12,80,68,59,1002,1000,998,27,16,6,21,10,NA,0.25,8,"Rain",-1,"ETMK"
"138",2013-05-18,17,14,11,14,12,10,95,86,80,1009,1005,1002,18,8,3,21,13,NA,2.03,8,"Rain",-1,"ETMK"
"139",2013-05-19,14,12,10,13,11,9,99,92,80,1010,1009,1008,8,5,2,21,13,NA,0.51,8,"Fog-Rain",-1,"ETMK"
"140",2013-05-20,17,14,12,14,13,12,100,90,70,1008,1007,1006,31,7,0,14,6,NA,0,8,"Fog-Rain",-1,"ETMK"
"141",2013-05-21,13,12,11,13,12,11,100,98,95,1008,1007,1004,11,4,2,18,11,NA,24.89,8,"Rain",-1,"ETMK"
"142",2013-05-22,10,9,7,12,7,3,100,85,62,1006,1002,1001,31,12,2,43,23,NA,12.95,8,"Rain",-1,"ETMK"
"143",2013-05-23,13,9,4,6,4,2,89,69,36,1009,1006,1005,31,26,18,18,13,NA,1.02,8,"Rain",-1,"ETMK"
"144",2013-05-24,14,10,6,8,6,2,96,70,38,1013,1011,1008,29,18,6,14,8,NA,0,8,"Rain",-1,"ETMK"
"145",2013-05-25,14,10,6,13,9,6,100,94,84,1013,1010,1008,18,8,5,21,13,NA,9.91,8,"Rain",-1,"ETMK"
"146",2013-05-26,16,13,12,12,11,11,99,85,67,1008,1005,1004,31,21,5,29,18,NA,4.06,8,"Rain",-1,"ETMK"
"147",2013-05-27,17,14,11,12,11,9,100,80,60,1010,1007,1004,31,17,3,18,10,NA,0,8,"Rain",-1,"ETMK"
"148",2013-05-28,16,12,8,13,11,9,100,90,71,1010,1006,1003,19,9,0,18,11,NA,0.51,8,"Fog-Rain",-1,"ETMK"
"149",2013-05-29,16,13,11,14,11,10,95,89,79,1004,1001,999,24,14,6,29,19,NA,3.05,8,"Rain",-1,"ETMK"
"150",2013-05-30,18,14,10,14,12,11,99,84,66,1009,1007,1004,31,12,0,21,11,NA,0,8,"Fog-Rain",-1,"ETMK"
"151",2013-05-31,21,17,13,16,13,11,90,79,63,1009,1008,1007,31,19,10,21,16,NA,0,8,NA,-1,"ETMK"
"152",2013-06-01,22,17,12,17,14,11,99,82,55,1014,1011,1009,26,14,5,29,11,NA,0,8,"Rain",-1,"ETMK"
"153",2013-06-02,16,13,9,9,8,5,84,65,43,1024,1019,1015,31,24,10,32,23,NA,0,8,NA,-1,"ETMK"
"154",2013-06-03,18,12,7,9,7,6,92,61,35,1025,1024,1023,31,20,11,26,18,NA,0,NA,NA,-1,"ETMK"
"155",2013-06-04,18,14,10,12,8,2,85,59,24,1024,1023,1022,31,19,10,29,14,NA,0,8,NA,-1,"ETMK"
"156",2013-06-05,21,13,6,10,7,4,92,53,27,1022,1021,1020,27,23,19,18,6,NA,0,8,NA,-1,"ETMK"
"157",2013-06-06,22,17,12,9,7,3,68,42,26,1024,1023,1022,31,23,13,21,10,NA,0,NA,NA,-1,"ETMK"
"158",2013-06-07,21,13,7,11,7,3,92,53,25,1024,1023,1021,31,23,14,14,6,NA,0,NA,NA,-1,"ETMK"
"159",2013-06-08,18,13,8,11,9,8,97,70,44,1021,1019,1016,31,20,13,18,10,NA,0,NA,NA,-1,"ETMK"
"160",2013-06-09,18,13,7,10,8,8,94,72,41,1016,1014,1011,31,25,10,14,10,NA,0,8,NA,-1,"ETMK"
"161",2013-06-10,20,13,6,13,9,4,100,77,23,1013,1012,1011,31,12,0,14,10,NA,0,8,"Fog",-1,"ETMK"
"162",2013-06-11,18,14,10,12,9,7,96,69,45,1019,1016,1014,31,16,5,18,13,NA,0,8,NA,-1,"ETMK"
"163",2013-06-12,23,15,7,16,10,6,97,63,33,1019,1017,1014,24,14,6,14,6,NA,0,8,"Rain",-1,"ETMK"
"164",2013-06-13,18,16,13,17,15,13,100,89,74,1014,1012,1011,11,6,3,14,10,NA,7.87,8,"Rain",-1,"ETMK"
"165",2013-06-14,18,15,12,13,10,8,95,70,45,1018,1014,1010,31,15,5,29,16,NA,0,8,"Rain",-1,"ETMK"
"166",2013-06-15,21,15,9,14,10,8,92,71,44,1018,1013,1008,31,21,10,50,8,NA,5.08,8,"Rain",-1,"ETMK"
"167",2013-06-16,17,13,11,12,10,9,86,71,56,1016,1012,1010,31,25,13,29,14,NA,0,8,"Rain",-1,"ETMK"
"168",2013-06-17,19,14,8,13,11,8,100,74,52,1019,1018,1016,31,18,6,14,10,NA,0.25,8,"Rain",-1,"ETMK"
"169",2013-06-18,22,16,11,14,13,11,91,71,51,1019,1018,1017,31,17,11,18,10,NA,0,8,"Rain",-1,"ETMK"
"170",2013-06-19,27,21,16,21,17,12,94,76,63,1018,1015,1014,31,17,2,18,10,NA,1.02,8,"Rain",-1,"ETMK"
"171",2013-06-20,23,21,19,19,18,18,94,81,72,1015,1013,1009,NA,NA,NA,26,13,NA,0.25,8,NA,-1,"ETMK"
"172",2013-06-21,21,18,16,19,17,14,100,88,63,1010,1008,1006,27,14,8,26,11,NA,3.05,8,"Rain",-1,"ETMK"
"173",2013-06-22,22,18,15,15,14,12,95,74,45,1012,1011,1008,31,11,3,18,14,NA,0,8,"Rain",-1,"ETMK"
"174",2013-06-23,19,16,13,14,13,11,95,77,52,1011,1009,1007,27,15,3,18,11,NA,2.03,8,"Rain",-1,"ETMK"
"175",2013-06-24,18,16,13,13,12,11,88,78,62,1020,1015,1011,31,21,10,21,11,NA,2.03,8,"Rain",-1,"ETMK"
"176",2013-06-25,16,14,12,13,11,9,93,81,62,1023,1022,1020,31,19,8,21,13,NA,0.51,8,"Rain",-1,"ETMK"
"177",2013-06-26,14,12,10,11,9,8,87,73,59,1023,1021,1020,31,29,19,32,23,NA,0,8,"Rain",-1,"ETMK"
"178",2013-06-27,14,12,11,12,10,8,94,86,76,1020,1019,1018,31,16,6,18,14,NA,3.05,8,"Rain",-1,"ETMK"
"179",2013-06-28,15,12,10,12,10,9,95,84,66,1019,1016,1014,19,13,2,18,13,NA,3.05,8,"Rain",-1,"ETMK"
"180",2013-06-29,17,14,11,14,11,7,100,84,48,1019,1014,1011,31,13,2,29,11,NA,2.03,8,"Rain",-1,"ETMK"
"181",2013-06-30,16,12,8,13,9,7,95,80,48,1019,1018,1016,27,18,5,29,16,NA,1.02,8,"Rain",-1,"ETMK"
"182",2013-07-01,20,17,13,15,13,9,97,81,59,1016,1014,1013,31,13,5,29,10,NA,0,8,"Rain",-1,"ETMK"
"183",2013-07-02,19,15,11,12,9,6,100,66,32,1015,1014,1013,31,17,3,18,8,NA,0.25,8,"Rain",-1,"ETMK"
"184",2013-07-03,24,19,14,18,15,11,99,77,52,1013,1010,1008,31,17,2,11,8,NA,9.91,8,"Fog-Rain",-1,"ETMK"
"185",2013-07-04,19,17,13,17,15,14,98,86,70,1022,1017,1013,24,10,2,14,8,NA,0,8,"Rain",-1,"ETMK"
"186",2013-07-05,22,18,12,16,13,8,95,72,43,1030,1026,1022,26,12,6,21,10,NA,0,8,"Rain",-1,"ETMK"
"187",2013-07-06,21,14,7,12,10,8,100,67,43,1032,1032,1030,31,16,5,14,10,NA,0,NA,NA,-1,"ETMK"
"188",2013-07-07,22,16,9,14,12,9,96,68,43,1033,1032,1032,31,19,5,14,6,NA,0,NA,"Fog",-1,"ETMK"
"189",2013-07-08,24,18,11,13,11,6,100,58,21,1032,1031,1029,31,18,6,18,10,NA,0,NA,NA,-1,"ETMK"
"190",2013-07-09,25,18,11,17,13,8,99,67,24,1029,1026,1022,31,21,10,18,8,NA,0,NA,NA,-1,"ETMK"
"191",2013-07-10,22,17,13,14,12,9,89,64,38,1022,1019,1018,31,18,3,29,18,NA,0,8,"Rain",-1,"ETMK"
"192",2013-07-11,23,16,9,13,11,8,95,63,29,1020,1020,1019,31,15,6,21,13,NA,0,NA,NA,-1,"ETMK"
"193",2013-07-12,22,16,9,13,11,9,96,69,41,1022,1021,1021,31,16,10,18,11,NA,0,NA,NA,-1,"ETMK"
"194",2013-07-13,22,16,10,14,13,10,98,79,51,1022,1022,1021,27,12,5,29,13,NA,0,8,NA,-1,"ETMK"
"195",2013-07-14,19,17,14,14,12,11,97,72,52,1022,1021,1021,26,11,6,29,19,NA,0,8,"Rain",-1,"ETMK"
"196",2013-07-15,21,16,10,14,12,11,95,75,51,1023,1022,1021,31,20,11,21,14,NA,0,8,NA,-1,"ETMK"
"197",2013-07-16,23,18,13,15,13,13,96,73,46,1024,1023,1022,27,14,6,18,11,NA,0,8,NA,-1,"ETMK"
"198",2013-07-17,24,18,11,16,14,13,100,75,49,1025,1024,1023,31,13,0,18,10,NA,0,8,"Fog",-1,"ETMK"
"199",2013-07-18,25,19,12,15,13,12,100,69,40,1026,1025,1024,27,11,2,21,10,NA,0,NA,"Fog",-1,"ETMK"
"200",2013-07-19,25,20,16,17,15,13,92,73,49,1024,1022,1020,31,16,6,32,19,NA,0,8,NA,-1,"ETMK"
"201",2013-07-20,24,17,10,16,11,6,99,58,20,1024,1023,1022,31,16,5,14,8,NA,0,NA,"Fog",-1,"ETMK"
"202",2013-07-21,29,20,11,15,12,9,86,53,23,1024,1022,1021,31,20,10,14,6,NA,0,NA,NA,-1,"ETMK"
"203",2013-07-22,27,20,13,17,14,12,96,62,33,1021,1019,1017,31,23,8,18,5,NA,0,NA,NA,-1,"ETMK"
"204",2013-07-23,27,20,13,18,14,12,98,64,35,1017,1016,1016,29,17,10,21,8,NA,0,NA,NA,-1,"ETMK"
"205",2013-07-24,24,19,14,16,12,7,81,48,26,1016,1015,1014,31,23,10,21,11,NA,2.03,8,"Rain",-1,"ETMK"
"206",2013-07-25,24,20,16,19,17,16,99,78,58,1016,1015,1015,31,21,6,18,8,NA,0,8,"Rain",-1,"ETMK"
"207",2013-07-26,28,22,17,20,18,14,95,69,33,1016,1014,1013,19,10,2,11,5,NA,0,8,"Fog-Rain",-1,"ETMK"
"208",2013-07-27,27,23,18,21,19,18,98,75,56,1013,1011,1008,27,13,2,26,8,NA,11.94,8,"Rain",-1,"ETMK"
"209",2013-07-28,27,22,18,21,18,17,96,77,54,1014,1009,1005,31,19,6,26,13,NA,0,8,"Rain",-1,"ETMK"
"210",2013-07-29,24,19,14,17,15,13,100,74,46,1015,1014,1013,31,16,2,18,6,NA,0,8,"Fog-Rain",-1,"ETMK"
"211",2013-07-30,22,19,16,18,16,13,94,75,53,1014,1013,1013,31,20,6,26,13,NA,3.05,8,"Rain",-1,"ETMK"
"212",2013-07-31,22,19,15,16,14,13,100,78,47,1017,1013,1009,31,16,2,29,11,NA,2.03,8,"Rain",-1,"ETMK"
"213",2013-08-01,27,21,14,19,17,14,96,81,53,1017,1016,1014,31,17,10,14,8,NA,0,8,"Rain",-1,"ETMK"
"214",2013-08-02,33,26,18,19,18,13,90,55,20,1015,1013,1012,31,23,16,14,6,NA,0,NA,NA,-1,"ETMK"
"215",2013-08-03,26,22,16,19,17,14,86,64,44,1021,1014,1009,31,24,10,21,10,NA,2.03,8,"Rain",-1,"ETMK"
"216",2013-08-04,24,19,13,16,14,11,100,68,32,1023,1022,1021,27,20,10,14,6,NA,0,8,NA,-1,"ETMK"
"217",2013-08-05,27,20,13,17,14,12,93,63,29,1022,1019,1015,31,22,14,14,6,NA,0,NA,NA,-1,"ETMK"
"218",2013-08-06,24,20,16,18,16,13,78,64,51,1016,1013,1010,31,23,14,26,13,NA,0,8,NA,-1,"ETMK"
