"","Date","Max_TemperatureC","Mean_TemperatureC","Min_TemperatureC","Dew_PointC","MeanDew_PointC","Min_DewpointC","Max_Humidity","Mean_Humidity","Min_Humidity","Max_Sea_Level_PressurehPa","Mean_Sea_Level_PressurehPa","Min_Sea_Level_PressurehPa","Max_VisibilityKm","Mean_VisibilityKm","Min_VisibilitykM","Max_Wind_SpeedKm_h","Mean_Wind_SpeedKm_h","Max_Gust_SpeedKm_h","Precipitationmm","CloudCover","Events","WindDirDegrees","Station"
"1",2013-01-01,7,1,-5,3,-1,-5,100,88,61,1014,1011,1010,10,9,5,23,6,NA,0,6,"Fog-Rain",240,"EDDM"
"2",2013-01-02,4,1,-3,3,1,-3,100,88,75,1031,1024,1014,10,10,10,19,13,NA,0,6,"Fog-Rain",253,"EDDM"
"3",2013-01-03,5,0,-4,4,0,-4,100,90,75,1035,1033,1031,10,10,6,34,14,40,0,8,"Fog-Rain",241,"EDDM"
"4",2013-01-04,7,6,4,6,5,3,100,94,87,1035,1033,1029,10,8,4,37,24,NA,0,7,"Rain",260,"EDDM"
"5",2013-01-05,7,6,5,6,6,5,100,96,93,1031,1029,1028,10,6,3,35,27,NA,0,8,"Rain",266,"EDDM"
"6",2013-01-06,5,5,5,5,4,3,100,95,87,1030,1028,1026,10,9,5,34,21,40,0,7,"Rain",264,"EDDM"
"7",2013-01-07,6,4,3,5,4,2,100,94,87,1028,1027,1027,10,7,4,24,18,NA,0,6,"Rain",263,"EDDM"
"8",2013-01-08,5,3,1,3,2,1,100,95,87,1027,1025,1023,10,6,3,19,10,NA,0,6,"Fog-Rain",253,"EDDM"
"9",2013-01-09,5,3,1,3,2,0,100,93,81,1024,1020,1015,10,8,4,14,8,NA,0,7,"Rain",255,"EDDM"
"10",2013-01-10,4,2,1,2,2,0,100,95,87,1015,1012,1009,10,8,4,23,16,NA,0,7,"Rain-Snow",262,"EDDM"
"11",2013-01-11,2,-1,-3,1,-2,-5,93,86,69,1016,1013,1008,10,10,6,24,13,NA,0,5,"Rain-Snow",277,"EDDM"
"12",2013-01-12,-1,-2,-3,-2,-3,-5,100,92,86,1016,1016,1015,10,8,1,16,8,NA,0,7,"Snow",35,"EDDM"
"13",2013-01-13,-2,-3,-4,-3,-5,-6,100,87,80,1015,1013,1012,10,9,4,19,11,NA,0,7,NA,72,"EDDM"
"14",2013-01-14,-1,-2,-3,-3,-4,-5,93,89,80,1012,1011,1010,10,8,4,21,11,NA,0,7,"Snow",64,"EDDM"
"15",2013-01-15,-2,-3,-4,-2,-4,-4,100,93,86,1011,1006,1004,10,7,3,23,8,NA,0,7,"Snow",67,"EDDM"
"16",2013-01-16,-1,-4,-8,-2,-4,-8,100,98,86,1006,1005,1004,9,3,1,14,6,NA,0,6,"Fog-Snow",258,"EDDM"
"17",2013-01-17,-4,-6,-7,-4,-4,-8,100,100,93,1010,1008,1005,5,2,1,21,14,NA,0,7,"Snow",263,"EDDM"
"18",2013-01-18,-3,-4,-5,-4,-5,-7,100,93,80,1010,1007,1001,10,7,5,16,8,NA,0,6,"Snow",36,"EDDM"
