"","Date","Max_TemperatureC","Mean_TemperatureC","Min_TemperatureC","Dew_PointC","MeanDew_PointC","Min_DewpointC","Max_Humidity","Mean_Humidity","Min_Humidity","Max_Sea_Level_PressurehPa","Mean_Sea_Level_PressurehPa","Min_Sea_Level_PressurehPa","Max_VisibilityKm","Mean_VisibilityKm","Min_VisibilitykM","Max_Wind_SpeedKm_h","Mean_Wind_SpeedKm_h","Max_Gust_SpeedKm_h","Precipitationmm","CloudCover","Events","WindDirDegrees","Station"
"1",2013-01-01,7,3,-1,4,1,-3,93,80,57,1014,1010,1008,31,15,8,23,13,NA,0,7,"Rain",163,"EDDN"
"2",2013-01-02,5,2,0,3,1,-1,93,84,63,1032,1023,1014,31,14,10,21,11,NA,0,4,"Rain",261,"EDDN"
"3",2013-01-04,8,7,5,8,6,5,100,92,87,1035,1032,1029,14,9,3,26,18,42,3.05,7,"Rain",269,"EDDN"
"4",2013-01-05,7,6,6,8,6,6,100,96,90,1031,1029,1028,11,6,3,26,19,39,1.02,7,"Rain",287,"EDDN"
"5",2013-01-06,7,6,5,6,5,4,100,93,84,1031,1028,1025,19,9,5,23,16,NA,0.25,7,"Rain",282,"EDDN"
"6",2013-01-07,7,4,2,6,4,2,100,90,77,1029,1027,1026,19,11,9,21,11,NA,0,7,"Fog-Rain",295,"EDDN"
"7",2013-01-08,5,3,2,4,3,2,100,97,87,1029,1025,1024,10,8,5,21,8,NA,7.11,7,"Fog-Rain",231,"EDDN"
"8",2013-01-09,5,3,1,4,3,1,100,93,80,1026,1021,1015,18,8,3,21,6,NA,0,7,"Rain-Snow",253,"EDDN"
"9",2013-01-10,3,2,1,2,1,0,100,92,84,1017,1012,1009,14,9,3,21,13,NA,0,7,"Rain",265,"EDDN"
"10",2013-01-11,0,-1,-2,0,-3,-6,93,77,55,1019,1013,1008,26,10,5,21,11,NA,0,5,"Snow",310,"EDDN"
"11",2013-01-12,-1,-3,-6,-4,-6,-8,100,80,55,1020,1017,1015,31,15,10,11,5,NA,0,4,NA,50,"EDDN"
"12",2013-01-13,-2,-5,-8,-7,-8,-9,93,77,54,1020,1015,1013,31,15,10,14,8,NA,0,6,"Snow",70,"EDDN"
"13",2013-01-14,-1,-3,-5,-4,-6,-9,86,76,58,1016,1013,1011,26,13,9,19,10,NA,0,7,"Snow",105,"EDDN"
"14",2013-01-15,2,-4,-9,-3,-6,-9,93,81,47,1014,1007,1004,26,13,3,14,6,NA,0,5,"Snow",105,"EDDN"
"15",2013-01-16,-1,-2,-4,-2,-3,-6,100,89,71,1009,1006,1005,10,7,3,14,6,NA,0,6,"Snow",41,"EDDN"
"16",2013-01-17,-2,-3,-5,-3,-4,-5,100,93,86,1014,1010,1007,10,4,2,14,8,NA,0.76,7,"Snow",321,"EDDN"
"17",2013-01-18,-2,-3,-5,-4,-5,-7,100,90,77,1014,1009,1002,19,10,7,13,5,NA,0,6,"Snow",16,"EDDN"
"18",2013-01-19,-4,-6,-8,-6,-7,-9,93,85,74,1005,999,996,14,10,5,16,10,NA,0,7,"Snow",83,"EDDN"
"19",2013-01-20,-2,-6,-9,-4,-6,-9,93,86,72,1000,995,993,13,10,8,21,6,NA,0.25,6,"Rain-Snow",77,"EDDN"
"20",2013-01-21,0,-2,-3,-3,-3,-4,100,92,80,1002,998,995,11,6,1,6,3,NA,1.02,7,"Fog-Rain-Snow",39,"EDDN"
"21",2013-01-22,1,-1,-3,0,-2,-3,100,94,82,1007,1003,1000,7,4,2,8,5,NA,0.51,7,"Fog-Snow",75,"EDDN"
"22",2013-01-23,2,-1,-3,0,-1,-2,100,95,85,1008,1006,1005,11,5,2,11,3,NA,0,7,"Fog-Rain-Snow",54,"EDDN"
"23",2013-01-24,-2,-3,-5,0,-4,-7,100,87,74,1017,1010,1006,11,7,3,14,6,NA,0,7,"Rain-Snow",321,"EDDN"
"24",2013-01-25,-4,-5,-6,-6,-7,-8,93,83,67,1021,1017,1014,10,7,3,14,5,NA,0,7,"Snow",7,"EDDN"
"25",2013-01-26,-3,-4,-6,-7,-7,-8,93,80,60,1018,1014,1012,14,10,8,21,13,NA,0,7,NA,150,"EDDN"
"26",2013-01-27,1,-2,-6,0,-3,-7,100,83,69,1017,1010,1005,11,8,3,19,10,NA,0,7,"Rain-Snow",141,"EDDN"
"27",2013-01-28,3,2,0,2,1,0,100,92,83,1020,1015,1007,14,10,3,13,5,NA,0,6,"Fog-Rain-Snow",211,"EDDN"
"28",2013-01-29,7,4,2,6,3,-1,100,88,67,1020,1015,1013,26,11,6,21,11,NA,5.08,7,"Rain",212,"EDDN"
"29",2013-01-30,12,9,6,10,8,2,100,87,66,1015,1012,1008,31,13,10,42,19,61,1.02,6,"Rain",242,"EDDN"
"30",2013-01-31,9,7,5,3,2,-2,76,66,38,1020,1015,1011,31,14,10,47,29,71,0,4,"Rain",258,"EDDN"
"31",2013-02-01,7,6,4,6,3,2,100,85,63,1014,1005,990,26,11,8,29,18,NA,5.08,6,"Rain",207,"EDDN"
"32",2013-02-02,4,1,-1,6,1,-3,100,87,73,1011,999,989,31,14,4,29,11,37,0,7,"Rain-Snow",294,"EDDN"
"33",2013-02-03,3,1,-2,-1,-2,-3,94,80,56,1018,1015,1010,31,14,4,37,16,60,0,6,"Snow",270,"EDDN"
"34",2013-02-04,6,2,-1,4,2,-1,100,92,82,1014,1011,1010,31,11,3,27,19,45,2.03,7,"Rain-Snow",251,"EDDN"
"35",2013-02-05,7,4,1,3,1,-2,93,83,57,1012,1004,999,31,12,4,47,14,72,1.02,6,"Rain-Snow",224,"EDDN"
"36",2013-02-06,4,1,-2,0,-1,-3,100,86,56,1002,999,997,31,12,3,21,13,NA,0,6,"Snow",168,"EDDN"
"37",2013-02-07,2,-1,-3,0,-2,-2,100,92,75,1012,1007,1002,26,10,5,29,8,NA,0.25,6,"Fog-Snow",294,"EDDN"
"38",2013-02-08,1,-1,-3,-1,-3,-4,100,89,63,1014,1011,1010,31,11,2,13,5,NA,0.25,6,"Snow",293,"EDDN"
"39",2013-02-09,-1,-3,-5,-3,-4,-6,100,88,62,1020,1016,1013,26,10,1,14,8,NA,0,6,"Snow",309,"EDDN"
"40",2013-02-10,-1,-4,-7,-5,-7,-9,100,82,53,1020,1014,1008,31,13,9,23,8,NA,0,5,"Snow",118,"EDDN"
"41",2013-02-11,-1,-6,-10,-6,-8,-11,86,74,53,1010,1005,1002,26,16,10,26,14,NA,0,6,NA,89,"EDDN"
"42",2013-02-12,-2,-3,-5,-4,-6,-8,86,79,67,1016,1008,1004,18,9,5,14,8,NA,0,6,"Snow",352,"EDDN"
"43",2013-02-13,-1,-2,-4,-3,-4,-6,100,84,60,1028,1021,1014,14,7,3,11,6,NA,0,6,"Snow",312,"EDDN"
